ProbeID	GSM1843834_BCR_T100_Probe40.CEL	GSM1843835_BCR_T101_Probe44.CEL	GSM1843836_BCR_T102_Probe49.CEL	GSM1843837_BCR_T103_Probe2.CEL	GSM1843838_BCR_T104_Probe8.CEL	GSM1843839_BCR_T105_Probe14.CEL	GSM1843840_BCR_T96_Probe20.CEL	GSM1843841_BCR_T97_Probe25.CEL	GSM1843842_BCR_T98_Probe30.CEL	GSM1843843_BCR_T99_Probe35.CEL	GSM1843844_ctrl_T100_Probe39.CEL	GSM1843845_ctrl_T101_Probe43.CEL	GSM1843846_ctrl_T102_Probe48.CEL	GSM1843847_ctrl_T103_Probe1.CEL	GSM1843848_ctrl_T104_Probe7.CEL	GSM1843849_ctrl_T105_Probe13.CEL	GSM1843850_ctrl_T96_Probe19.CEL	GSM1843851_ctrl_T97_Probe24.CEL	GSM1843852_ctrl_T98_Probe29.CEL	GSM1843853_ctrl_T99_Probe34.CEL
1552307_a_at	5.729617756	6.545133972	5.687242903	6.369007364	5.999869019	6.22870188	6.640138765	6.431476464	6.549116449	5.088234297	7.487559609	7.91992313	7.520939308	6.901923791	6.637886678	6.732932109	7.893290447	8.106085561	7.871126553	7.125841856
1552623_at	7.517465201	7.324847861	7.258186383	8.468754857	8.122492762	8.19828278	7.807100505	7.713629955	7.724647699	6.897160082	8.888853581	8.945004318	9.794117917	8.968860544	9.118683934	9.037343194	8.580579569	8.696023619	8.592942656	8.238095068
1552652_at	7.926948382	7.370152034	7.264958713	8.146868848	8.202828646	8.074315906	7.810014715	7.734360599	7.63733243	7.717238462	6.689263906	6.700218649	6.990680596	6.807845053	6.778050828	6.779814358	6.821523668	6.725914737	6.828784856	6.295145972
1552664_at	8.836634802	8.775473947	8.726928545	8.44512366	8.523270143	8.501382202	8.546175009	8.719178176	8.559643802	8.790463099	7.128395173	6.574926178	6.233311367	7.268659941	7.201380367	7.272947944	7.332074733	7.362757237	7.479241808	7.132392796
1553227_s_at	8.305286288	8.544751262	8.246769706	8.779666525	8.569294775	8.587113627	8.767176923	8.805660243	8.665950865	7.49631869	7.638020479	7.493063726	6.926151345	7.701406904	7.73565819	7.817721289	7.472815546	7.56296018	7.379296417	6.689454017
1553873_at	4.968061378	5.346816994	5.046202866	5.937862549	5.528391376	5.597909173	6.098461998	6.062329747	6.075043191	4.26382906	6.809883569	7.375323171	6.351151481	6.671417129	6.712936781	6.644653624	7.700642303	7.757093394	7.665748729	6.273236785
1554586_a_at	8.786759451	9.359790841	9.204501842	8.395783659	8.16166519	7.968322937	8.190492389	8.193821964	8.133518638	8.79055314	7.849135385	7.613235575	6.59979619	7.320918288	7.069305742	7.267157045	7.288099329	7.396475406	7.403725646	8.11961515
1554789_a_at	4.954609533	4.331672972	4.088722627	5.038209679	4.575963093	4.905261425	5.767384987	5.664385362	5.929238244	3.986547641	6.477704892	5.166000729	6.245843308	5.794532014	5.75192743	5.599077189	6.956581205	6.774046409	6.859759181	5.464290023
1555275_a_at	9.584512431	9.59634004	9.629602826	9.85457353	9.621518834	9.667323448	9.697363943	9.87212191	9.740634978	9.034317435	8.487820241	8.107927073	7.38660414	8.380868503	8.126095774	8.089239949	8.692837705	8.705273193	8.701798788	7.817635921
1555349_a_at	9.299069213	9.348928218	9.219993497	9.681234257	9.525016542	9.49746978	8.997211856	9.038370283	9.049381696	8.959066608	8.365163979	7.700034995	8.439891812	8.794810756	8.558407106	8.505581624	7.87202208	7.947432618	7.888772262	8.054415387
